,Quarter,Onshore wind,Offshore wind,Shoreline wave,Solar photovoltaics,Hydro,Bioenergy and waste,All renewables,TOTAL ELECTRICITY GENERATED,Wind
0,2010-01-01,1.62,0.62,0.0,0.01,0.78,2.75,5.78,108183.0,2.24
1,2010-03-01,1.39,0.53,0.0,0.01,0.76,3.38,6.07,86507.0,1.92
2,2010-06-01,2.33,1.0,0.0,0.02,1.03,3.77,8.15,82878.0,3.33
3,2010-09-01,2.24,1.06,0.0,0.01,1.18,3.09,7.58,104501.0,3.3000000000000003
4,2011-01-01,2.32,0.97,0.0,0.01,1.26,3.25,7.81,103370.0,3.29
5,2011-03-01,2.93,1.33,0.0,0.08,1.34,3.71,9.39,85066.0,4.26
6,2011-06-01,2.3,1.32,0.0,0.13,1.48,4.0,9.23,83420.0,3.62
7,2011-09-01,4.17,2.0,0.0,0.06,2.1,3.59,11.92,96126.0,6.17
8,2012-01-01,3.57,1.51,0.0,0.18,1.83,3.92,11.01,99899.0,5.08
9,2012-03-01,2.63,1.93,0.0,0.51,0.93,3.53,9.53,85328.0,4.56
10,2012-06-01,3.25,2.1,0.0,0.68,1.29,4.36,11.68,81440.0,5.35
11,2012-09-01,3.9,2.82,0.0,0.19,1.68,4.38,12.97,97206.0,6.72
12,2013-01-01,3.92,2.77,0.0,0.14,1.24,4.08,12.15,101370.0,6.6899999999999995
13,2013-03-01,4.63,3.12,0.0,0.84,1.16,6.04,15.79,83733.0,7.75
14,2013-06-01,3.48,2.47,0.0,1.08,0.93,5.62,13.58,79501.0,5.95
15,2013-09-01,6.73,4.36,0.0,0.33,1.85,4.75,18.02,93680.0,11.09
16,2014-01-01,7.13,4.69,0.0,0.5,2.4,4.89,19.61,93478.0,11.82
17,2014-03-01,3.86,2.66,0.0,1.87,1.42,6.93,16.74,78664.0,6.52
18,2014-06-01,3.79,2.95,0.0,2.05,1.02,7.77,17.58,76122.0,6.74
19,2014-09-01,6.64,5.22,0.0,0.61,1.95,7.45,21.87,89832.0,11.86
20,2015-01-01,7.49,4.89,0.0,0.98,2.1,7.3,22.76,95549.0,12.379999999999999
21,2015-03-01,6.06,4.56,0.0,3.95,1.82,8.93,25.32,78526.0,10.62
22,2015-06-01,4.99,4.47,0.0,3.53,1.35,9.25,23.59,76324.0,9.46
23,2015-09-01,8.05,6.51,0.0,0.9,2.07,9.29,26.82,88476.0,14.56
24,2016-01-01,6.86,5.59,0.0,1.58,2.26,9.25,25.54,92166.0,12.45
25,2016-03-01,5.07,4.17,0.0,4.96,1.2,9.88,25.28,77992.0,9.24
26,2016-06-01,6.05,4.71,0.0,4.92,1.51,8.19,25.38,76021.0,10.76
27,2016-09-01,6.32,4.76,0.0,1.43,1.3,8.17,21.98,92986.0,11.08
28,2017-01-01,8.27,5.51,0.0,1.71,1.92,9.58,26.99,93650.0,13.78
29,2017-03-01,8.04,5.19,0.0,5.95,1.12,10.17,30.47,76949.0,13.23
30,2017-06-01,7.46,5.25,0.0,5.24,1.68,10.3,29.93,75445.0,12.71
31,2017-09-01,9.94,8.47,0.0,1.43,2.12,7.96,29.92,92153.0,18.41
32,2018-01-01,10.2,8.46,0.0,1.91,1.67,8.3,30.54,93716.4,18.66
33,2018-03-01,7.05,6.13,0.0,6.36,1.24,11.24,32.02,77143.7,13.18
34,2018-06-01,7.37,6.67,0.0,5.95,1.18,11.73,32.9,75269.2,14.04
35,2018-09-01,11.23,10.11,0.0,1.7,2.32,11.22,36.58,87587.0,21.34
36,2019-01-01,11.16,9.76,0.0,2.18,2.15,10.18,35.43,88130.4,20.92
37,2019-03-01,7.94,7.79,0.01,6.06,1.09,11.95,34.84,76249.3,15.73
38,2019-06-01,9.08,9.61,0.01,6.0,1.88,12.15,38.73,74804.3,18.689999999999998
39,2019-09-01,10.44,11.66,0.0,1.58,2.05,11.77,37.5,87907.4,22.1
40,2020-01-01,14.76,15.26,0.0,2.16,2.82,11.86,46.86,87580.3,30.02
41,2020-03-01,9.03,10.82,0.0,7.68,1.5,14.76,43.79,67377.1,19.85
42,2020-06-01,9.0,10.81,0.0,5.51,1.6,12.4,39.32,74142.9,19.810000000000002
43,2020-09-01,10.53,14.05,0.0,1.58,2.57,11.69,40.42,85561.3,24.58
44,2021-01-01,11.83,13.3,0.0,2.05,2.1,12.28,41.56,84212.3,25.130000000000003
45,2021-03-01,7.26,8.49,0.0,6.62,1.37,13.43,37.17,72921.2,15.75
46,2021-06-01,5.86,8.99,0.0,5.97,0.83,13.54,35.19,68116.4,14.850000000000001
47,2021-09-01,11.84,14.34,0.0,1.74,2.48,12.77,43.17,83661.6,26.18
48,2022-01-01,14.04,15.0,0.0,2.37,2.31,11.95,45.67,84197.2,29.04
49,2022-03-01,9.49,11.29,0.0,6.26,1.26,10.38,38.68,78654.5,20.78
50,2022-06-01,7.33,9.96,0.0,6.02,0.99,11.96,36.26,77615.2,17.29
51,2022-09-01,12.11,18.62,0.0,1.99,2.28,9.8,44.8,84790.0,30.73
52,2023-01-01,13.02,19.27,0.0,2.32,2.12,11.35,48.08,78015.6,32.29
